external_id,legacy_payment_request_id,name,ledger_amount,actual_outflow_count,actual_outflow_amount,sample_downstream_external_ids,target_state,target_validation_status,business_fact
legacy_outflow_sc_0041679687eb4dd89ecf8653c02f6a4f,5366,PRQ2605366,50000.00,1,50000.00,legacy_actual_outflow_sc_66eab6fa13e342a4be8573b2ad0aa823,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0044a0caa1f841f78b6e0efb3665be17,5367,PRQ2605367,527355.55,1,527355.55,legacy_actual_outflow_sc_7d7e0bad42ec46d8b7c19d2e83410857,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0044baa69db64896a2c1e16800258d22,5368,PRQ2605368,150000.00,1,150000.00,legacy_actual_outflow_sc_f0816adcf87c4f6e9902b0e4e5626a2d,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0054d5d34c1d420ca329659f63302eda,5369,PRQ2605369,16303.15,1,16303.15,legacy_actual_outflow_sc_f05c3827d8914de6984d8fcd5b64a0d8,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0055d86a2d384a959dd6a91e70a43d1f,5370,PRQ2605370,38625.20,1,38625.20,legacy_actual_outflow_sc_9bc9891a9e8e49b1b7e4c7f8066b20c8,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_005cce20f6e744b7a157860ab9f976fd,5371,PRQ2605371,280160.00,1,280160.00,legacy_actual_outflow_sc_813d3084d8144ae39912c967ed26794a,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0067062470454979a3acef359f1d1194,5372,PRQ2605372,59222.40,1,59222.40,legacy_actual_outflow_sc_2b4b26f828c6492182f9d3ad2ba94a14,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_006b2c8fd27341b3a7ad216ca4a741e8,5373,PRQ2605373,58552.00,1,58552.00,legacy_actual_outflow_sc_f7d98bb09d1e460ca15ce7e5ed4ba401,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_006f55007fa844fa8b610263f26cc446,5374,PRQ2605374,95707.00,1,95707.00,legacy_actual_outflow_sc_2e26803f6f7348e889f58d973588a68d,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_00727fd5313747128b06cf6e33cf3128,5375,PRQ2605375,100000.00,1,100000.00,legacy_actual_outflow_sc_a0922fb413f149bbb14939ac68c23185,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_00732d800a364ab7a84d239d7c830c1a,5376,PRQ2605376,18029.50,1,18029.50,legacy_actual_outflow_sc_33968484bfe447c0b8445e772b7dea1d,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_007d89e073fb48b499e0eb610df7ddda,5377,PRQ2605377,8146.00,1,8146.00,legacy_actual_outflow_sc_2fe9f11597be4167bea4149db700d21b,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_00929c5149134e5b8ac57037b07c64d6,5378,PRQ2605378,94553.29,1,94553.29,legacy_actual_outflow_sc_56c8de373e834f3c9d9683a604ddf2a5,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_0098e9f9b1904bfcb1c2b2b909bd47e9,5379,PRQ2605379,50000.00,1,50000.00,legacy_actual_outflow_sc_fe3a335efc334c3b88aa2a07abff97ba,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_009b5c4d0e3e4506b0715e07eac4d921,5380,PRQ2605380,45638.00,1,45638.00,legacy_actual_outflow_sc_658131260ebe4cd190e4de0196993ee6,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_009ef4dd53504148a76453bb82f60508,5381,PRQ2605381,2600.00,1,2600.00,legacy_actual_outflow_sc_47fcc7bf502d465f872c2e4e30b85d0a,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_00a2268eac8d4bfdb58d0a918cf1bb43,5382,PRQ2605382,20600.00,1,20600.00,legacy_actual_outflow_sc_ace072305df84271be75583fb6d2189e,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_00aedf45dc3b4525b05e7c0838c1d086,5383,PRQ2605383,9800.00,1,9800.00,legacy_actual_outflow_sc_467ce5bd610340e693315d6ddbc8cf3c,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_00b2e5f0aa744306b0521fce7b2c75ee,5384,PRQ2605384,1468.83,1,1468.83,legacy_actual_outflow_sc_6ea358cb04df4078a6865ea394b43ccb,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_00c95d9727ea41ab9b572f7b3506c25d,5385,PRQ2605385,2987.00,1,2987.00,legacy_actual_outflow_sc_8bcb681d0e0b470eb5d4d4ebc1722f98,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_00d392b48c854637a92e8c82f699ad50,5386,PRQ2605386,209128.52,1,209128.52,legacy_actual_outflow_sc_16c0abad19974b64ac9cf48505b1fa6c,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_00d5e2b906a5419daf99dcfda84a730e,5387,PRQ2605387,155400.00,1,155400.00,legacy_actual_outflow_sc_663160f12869498aa4a3fd6c1877f440,done,validated,historical_paid_by_downstream_business_fact
legacy_outflow_sc_00d9973b44ce455e933e2efe07a42ebf,5388,PRQ2605388,70000.00,1,70000.00,legacy_actual_outflow_sc_a8b33cceabd642c5822b912443bdd7e1,done,validated,historical_paid_by_downstream_business_fact
